ra	dec	ebv	nobs_g	nobs_r	nobs_z	inds	region	source_type	z_phot_l68	z_phot_mean	z_phot_u68	z_spec	Probability	grade
181.5087	51.708218	0.022739824	2	2	3	880027	north	DEV	0.35302404	0.37417036	0.39741036	0.4223719	0.9733536243438721	b'A'
6.750344	-4.22325	0.03548627	7	7	7	3285203	south	SER	0.48727027	0.4994647	0.51457924	0.4950021	0.9825745224952698	b'A'
42.29959	-0.8136111	0.051669985	10	8	9	1051626	south	SER	0.23845609	0.25273836	0.2662623	0.2719611	0.982926607131958	b'A'
357.37534	-51.227547	0.016173773	13	11	12	1263606	south	SER	0.40370697	0.41286027	0.42262796	-99.0	0.9997645020484924	b'A'
20.17684	-51.73078	0.011736171	9	10	8	22230328	south	SER	0.20864289	0.5262838	0.7921669	-99.0	0.9998613595962524	b'A'
64.54123	-54.95975	0.0082439175	7	7	5	12885887	south	DEV	0.5689184	0.58175194	0.6162283	-99.0	0.9683351516723633	b'A'
320.71667	-0.99704605	0.04498618	7	6	7	4056633	south	SER	0.33176634	0.34731317	0.36603945	0.34875536	0.99898761510849	b'A'
42.011635	-3.5296953	0.03124606	7	8	9	4409769	south	SER	0.1794839	0.18633948	0.19148105	-99.0	0.9865655303001404	b'A'
1.513039	-42.13708	0.009714182	8	7	8	30415201	south	SER	0.7985556	0.83080995	0.86558133	-99.0	0.977077066898346	b'A'
92.98919	-55.232536	0.06324845	8	7	9	14108385	south	SER	0.45953578	0.51649076	0.5641497	-99.0	0.9936026930809021	b'A'
15.653343	-44.66873	0.012448694	8	9	8	5990695	south	SER	0.49770138	0.51217943	0.53223884	-99.0	0.9418649673461914	b'A'
350.36832	-46.513752	0.008207611	6	3	7	18363807	south	SER	0.6373711	0.6644241	0.7038182	-99.0	0.9994074106216431	b'A'
45.951717	-46.44073	0.012402409	8	9	8	23511446	south	SER	0.5760882	0.6177663	0.6581609	-99.0	0.999790370464325	b'A'
359.52	-54.676525	0.011919114	7	8	7	39961062	south	SER	0.76055974	0.7975649	0.8439101	-99.0	0.913993239402771	b'A'
88.493225	-40.01832	0.05693885	4	5	5	12750476	south	SER	0.62342024	0.643446	0.6616491	-99.0	0.9869726300239563	b'B'
33.6473	0.07498328	0.034371957	9	7	8	20076091	south	SER	0.64639324	0.7203015	0.79691005	-99.0	0.9292083978652954	b'C'
75.2779	-50.913128	0.013696791	7	8	7	20938464	south	DEV	0.5926109	0.61370873	0.6342002	-99.0	0.913179337978363	b'B'
187.23691	2.577239	0.016804965	2	3	2	8206322	south	SER	0.493664	0.5160095	0.53711593	0.49497026	0.9189562201499939	b'C'
86.898094	-60.078136	0.06470017	7	10	10	41793139	south	SER	0.7288919	0.7731425	0.8158669	-99.0	0.9411061406135559	b'B'
332.9866	-54.64447	0.01925009	11	9	9	16696085	south	REX	0.6038259	0.67683	0.73604554	-99.0	0.9412220120429993	b'B'
69.31457	-64.475	0.035183866	9	7	7	1280105	south	SER	0.3404966	0.3667786	0.39052877	-99.0	0.9819238781929016	b'B'
73.384415	-55.591057	0.014142348	9	8	8	1670803	south	SER	0.29972616	0.31318682	0.3249016	-99.0	0.909391462802887	b'B'
70.7992	-20.4466	0.034383364	8	8	7	22375620	south	SER	0.6333444	0.66388	0.6934188	-99.0	0.9715491533279419	b'B'
42.49456	-50.94399	0.035562888	6	7	7	22811839	south	DEV	0.7333564	0.7643549	0.8096324	-99.0	0.9131619334220886	b'C'
31.27036	-40.64122	0.0139197605	12	10	9	11451603	south	DEV	0.59585893	0.6269588	0.67733574	-99.0	0.9344252347946167	b'B'
247.92242	30.531197	0.026344588	3	3	4	11864466	south	SER	0.6182096	0.6295435	0.64155304	0.6355067	0.9036017656326294	b'C'
351.13617	-49.749428	0.010363232	8	7	8	11904569	south	SER	0.5546495	0.5626217	0.5711652	-99.0	0.948399007320404	b'B'
125.62837	23.253235	0.038052864	4	3	3	24551111	south	DEV	0.70124006	0.741188	0.78820854	-99.0	0.940737783908844	b'B'
57.7997	-14.7411375	0.056247443	7	7	7	24989811	south	SER	0.21372803	0.2719719	0.32585984	-99.0	0.9223187565803528	b'C'
50.066906	-31.321589	0.01389664	8	7	8	33728420	south	EXP	0.7722856	0.8367879	0.90392864	-99.0	0.9429081678390503	b'C'
252.70665	31.391172	0.030734846	3	3	3	17369185	south	REX	0.6250413	0.70540726	0.7899313	-99.0	0.990500271320343	b'C'
36.791027	-45.275303	0.014131407	6	6	7	2360980	south	SER	0.41418043	0.42376557	0.43335629	-99.0	0.9186105132102966	b'B'
56.65431	-61.979233	0.036367208	7	8	7	26346485	south	SER	0.66320544	0.68679833	0.71068674	-99.0	0.9861941933631897	b'C'
118.75746	27.638245	0.031113103	5	3	3	15579305	south	SER	0.6700601	0.7061097	0.76396024	0.40790337	0.9990002512931824	b'B'
340.08337	-42.974045	0.011578195	9	9	9	5883885	south	SER	0.51116717	0.5175745	0.5256065	-99.0	0.9668917655944824	b'C'
329.47632	-57.009243	0.02038347	6	5	4	6475137	south	SER	0.30501157	0.3584954	0.4303391	-99.0	0.9824037551879883	b'C'
83.455574	-25.615107	0.028942134	9	10	9	38162633	south	DEV	0.77607274	0.79834193	0.81835365	-99.0	0.9831862449645996	b'B'
47.55479	-45.574276	0.019130742	7	8	9	40978249	south	SER	0.80125046	0.82418007	0.84838974	-99.0	0.9725846648216248	b'B'
242.5378	0.76518166	0.1428534	2	3	3	15803	south	SER	0.031973075	0.03953857	0.049496412	-99.0	0.9406616687774658	b'C'
61.932312	-6.315998	0.08991833	3	4	5	90931	south	SER	0.07652147	0.08033936	0.08442272	0.08690058	0.9426446557044983	b'C'
32.6663	-0.6421453	0.031953353	9	7	9	626817	south	SER	0.23846808	0.25770274	0.2870536	0.2870536	0.9320235252380371	b'C'
338.23734	-58.128685	0.020677285	7	9	8	9362085	south	DEV	0.56926894	0.5752845	0.5831993	-99.0	0.9913836717605591	b'C'
70.22684	-46.95993	0.00785703	6	6	6	2794609	south	SER	0.32829744	0.33968386	0.3491842	-99.0	0.9569377303123474	b'C'
