ra	dec	ebv	nobs_g	nobs_r	nobs_z	inds	region	source_type	z_phot_l68	z_phot_mean	z_phot_u68	z_spec	Probability	grade
181.5087	51.708218	0.022739824	2	2	3	880027	north	DEV	0.35302404	0.37417036	0.39741036	0.4223719	0.9733536243438721	b'A'
6.750344	-4.22325	0.03548627	7	7	7	3285203	south	SER	0.48727027	0.4994647	0.51457924	0.4950021	0.9825745224952698	b'A'
42.29959	-0.8136111	0.051669985	10	8	9	1051626	south	SER	0.23845609	0.25273836	0.2662623	0.2719611	0.982926607131958	b'A'
357.37534	-51.227547	0.016173773	13	11	12	1263606	south	SER	0.40370697	0.41286027	0.42262796	-99.0	0.9997645020484924	b'A'
20.17684	-51.73078	0.011736171	9	10	8	22230328	south	SER	0.20864289	0.5262838	0.7921669	-99.0	0.9998613595962524	b'A'
64.54123	-54.95975	0.0082439175	7	7	5	12885887	south	DEV	0.5689184	0.58175194	0.6162283	-99.0	0.9683351516723633	b'A'
320.71667	-0.99704605	0.04498618	7	6	7	4056633	south	SER	0.33176634	0.34731317	0.36603945	0.34875536	0.99898761510849	b'A'
42.011635	-3.5296953	0.03124606	7	8	9	4409769	south	SER	0.1794839	0.18633948	0.19148105	-99.0	0.9865655303001404	b'A'
1.513039	-42.13708	0.009714182	8	7	8	30415201	south	SER	0.7985556	0.83080995	0.86558133	-99.0	0.977077066898346	b'A'
92.98919	-55.232536	0.06324845	8	7	9	14108385	south	SER	0.45953578	0.51649076	0.5641497	-99.0	0.9936026930809021	b'A'
15.653343	-44.66873	0.012448694	8	9	8	5990695	south	SER	0.49770138	0.51217943	0.53223884	-99.0	0.9418649673461914	b'A'
350.36832	-46.513752	0.008207611	6	3	7	18363807	south	SER	0.6373711	0.6644241	0.7038182	-99.0	0.9994074106216431	b'A'
45.951717	-46.44073	0.012402409	8	9	8	23511446	south	SER	0.5760882	0.6177663	0.6581609	-99.0	0.999790370464325	b'A'
359.52	-54.676525	0.011919114	7	8	7	39961062	south	SER	0.76055974	0.7975649	0.8439101	-99.0	0.913993239402771	b'A'
