ra	dec	ebv	nobs_g	nobs_r	nobs_z	inds	region	source_type	z_phot_l68	z_phot_mean	z_phot_u68	z_spec	Probability	grade
88.493225	-40.01832	0.05693885	4	5	5	12750476	south	SER	0.62342024	0.643446	0.6616491	-99.0	0.9869726300239563	b'B'
75.2779	-50.913128	0.013696791	7	8	7	20938464	south	DEV	0.5926109	0.61370873	0.6342002	-99.0	0.913179337978363	b'B'
86.898094	-60.078136	0.06470017	7	10	10	41793139	south	SER	0.7288919	0.7731425	0.8158669	-99.0	0.9411061406135559	b'B'
332.9866	-54.64447	0.01925009	11	9	9	16696085	south	REX	0.6038259	0.67683	0.73604554	-99.0	0.9412220120429993	b'B'
69.31457	-64.475	0.035183866	9	7	7	1280105	south	SER	0.3404966	0.3667786	0.39052877	-99.0	0.9819238781929016	b'B'
73.384415	-55.591057	0.014142348	9	8	8	1670803	south	SER	0.29972616	0.31318682	0.3249016	-99.0	0.909391462802887	b'B'
70.7992	-20.4466	0.034383364	8	8	7	22375620	south	SER	0.6333444	0.66388	0.6934188	-99.0	0.9715491533279419	b'B'
31.27036	-40.64122	0.0139197605	12	10	9	11451603	south	DEV	0.59585893	0.6269588	0.67733574	-99.0	0.9344252347946167	b'B'
351.13617	-49.749428	0.010363232	8	7	8	11904569	south	SER	0.5546495	0.5626217	0.5711652	-99.0	0.948399007320404	b'B'
125.62837	23.253235	0.038052864	4	3	3	24551111	south	DEV	0.70124006	0.741188	0.78820854	-99.0	0.940737783908844	b'B'
36.791027	-45.275303	0.014131407	6	6	7	2360980	south	SER	0.41418043	0.42376557	0.43335629	-99.0	0.9186105132102966	b'B'
118.75746	27.638245	0.031113103	5	3	3	15579305	south	SER	0.6700601	0.7061097	0.76396024	0.40790337	0.9990002512931824	b'B'
83.455574	-25.615107	0.028942134	9	10	9	38162633	south	DEV	0.77607274	0.79834193	0.81835365	-99.0	0.9831862449645996	b'B'
47.55479	-45.574276	0.019130742	7	8	9	40978249	south	SER	0.80125046	0.82418007	0.84838974	-99.0	0.9725846648216248	b'B'
202.24196	25.45049	0.011029618	2	2	3	27179238	south	DEV	0.6675773	0.6923381	0.71675175	0.7035204	0.936980128288269	b'B'
