ra	dec	ebv	nobs_g	nobs_r	nobs_z	inds	region	source_type	z_phot_l68	z_phot_mean	z_phot_u68	z_spec	Probability	grade
33.6473	0.07498328	0.034371957	9	7	8	20076091	south	SER	0.64639324	0.7203015	0.79691005	-99.0	0.9292083978652954	b'C'
187.23691	2.577239	0.016804965	2	3	2	8206322	south	SER	0.493664	0.5160095	0.53711593	0.49497026	0.9189562201499939	b'C'
42.49456	-50.94399	0.035562888	6	7	7	22811839	south	DEV	0.7333564	0.7643549	0.8096324	-99.0	0.9131619334220886	b'C'
247.92242	30.531197	0.026344588	3	3	4	11864466	south	SER	0.6182096	0.6295435	0.64155304	0.6355067	0.9036017656326294	b'C'
57.7997	-14.7411375	0.056247443	7	7	7	24989811	south	SER	0.21372803	0.2719719	0.32585984	-99.0	0.9223187565803528	b'C'
50.066906	-31.321589	0.01389664	8	7	8	33728420	south	EXP	0.7722856	0.8367879	0.90392864	-99.0	0.9429081678390503	b'C'
252.70665	31.391172	0.030734846	3	3	3	17369185	south	REX	0.6250413	0.70540726	0.7899313	-99.0	0.990500271320343	b'C'
56.65431	-61.979233	0.036367208	7	8	7	26346485	south	SER	0.66320544	0.68679833	0.71068674	-99.0	0.9861941933631897	b'C'
340.08337	-42.974045	0.011578195	9	9	9	5883885	south	SER	0.51116717	0.5175745	0.5256065	-99.0	0.9668917655944824	b'C'
329.47632	-57.009243	0.02038347	6	5	4	6475137	south	SER	0.30501157	0.3584954	0.4303391	-99.0	0.9824037551879883	b'C'
242.5378	0.76518166	0.1428534	2	3	3	15803	south	SER	0.031973075	0.03953857	0.049496412	-99.0	0.9406616687774658	b'C'
61.932312	-6.315998	0.08991833	3	4	5	90931	south	SER	0.07652147	0.08033936	0.08442272	0.08690058	0.9426446557044983	b'C'
32.6663	-0.6421453	0.031953353	9	7	9	626817	south	SER	0.23846808	0.25770274	0.2870536	0.2870536	0.9320235252380371	b'C'
338.23734	-58.128685	0.020677285	7	9	8	9362085	south	DEV	0.56926894	0.5752845	0.5831993	-99.0	0.9913836717605591	b'C'
70.22684	-46.95993	0.00785703	6	6	6	2794609	south	SER	0.32829744	0.33968386	0.3491842	-99.0	0.9569377303123474	b'C'
54.69029	-16.323132	0.14290643	7	8	9	32953030	south	DEV	0.7135354	0.76634556	0.8148441	-99.0	0.9512224197387695	b'C'
40.62053	-29.718159	0.01701811	9	6	8	5438764	south	SER	0.47552735	0.4846701	0.49393433	-99.0	0.9054118394851685	b'C'
31.713099	-18.12254	0.028005112	8	8	8	39601290	south	EXP	0.7304246	0.7775017	0.8316431	-99.0	0.9488593339920044	b'C'
309.38647	-56.020306	0.058377024	10	8	4	36570052	south	DEV	0.68246126	0.71028316	0.7356377	-99.0	0.9308722019195557	b'C'
96.59634	-57.50835	0.11629031	7	7	6	7296472	south	SER	0.5470199	0.55565286	0.56333256	-99.0	0.9732410311698914	b'C'
16.312252	-40.868366	0.010581312	9	7	9	7513245	south	SER	0.43417612	0.5626315	0.6525618	-99.0	0.9383006691932678	b'C'
345.44455	-52.64857	0.012880919	5	5	7	1384938	south	SER	0.3409504	0.35453627	0.37266967	-99.0	0.9236766695976257	b'C'
151.87843	33.482594	0.012626404	4	3	3	24246547	south	DEV	0.5090678	0.56789833	0.619863	-99.0	0.9342761635780334	b'C'
197.30347	29.408228	0.01117874	4	4	5	904364	south	SER	0.14329791	0.16804226	0.18852559	0.24293324	0.9642395377159119	b'C'
122.383125	26.212236	0.03705445	5	4	4	2480627	south	SER	0.4066535	0.41964743	0.43315846	-99.0	0.9431353807449341	b'C'
196.62321	-5.6670156	0.03116948	3	5	4	2507211	south	SER	0.39170086	0.40316767	0.41433072	-99.0	0.9711216688156128	b'C'
46.96064	-50.701202	0.02192948	6	5	6	5365696	south	DEV	0.53702396	0.54745466	0.55676997	-99.0	0.9810969829559326	b'C'
